项目名,发布人,发布时间,项目状态,详情,抓取时间
开发/后端开发,无界工作室,2018-03-20 18:06:18,已完成,"1、资讯网页内容的梳理和提取
2、网页内容整理到后台数据库
3、网页内容实时可以获取
4、数据库在我方服务器上",2018-08-27 21:40:22.614255
开发/小程序开发,无界工作室,2018-03-22 17:26:53,已完成,"1、负责搭建小程序的前端
2、产品已有原型图
3、产品的数据后台我方提供接口
4、小程序的UI我方提供",2018-08-27 21:40:22.636372
开发/APP开发,武汉顽童,2018-03-26 16:35:17,已完成,"一、项目描述：
顽童星球APP是一款玩具资讯类应用，目前绝大部分功能已开发完成，仅剩部分界面上的问题需要修改（整体界面设计重新修改过），由于公司人手不足，所以需要一名经验丰富的安卓开发工程师来协助修改！

二、工作内容：
￼按照设计规范，修改整体样式
￼修改头像上传时长图发生图片旋转的BUG
￼添加评论回复
￼修改评论列表的样式
￼修改个人主页背景图
￼修改评论消息列表内容展示的样式
￼修改APP后台运行时视频持续播放的问题
￼修改玩友圈图片缩放问题
￼删除消息中的“通知”选项
￼添加全局默认图片、默认头像
￼修改APP视频上传时进度反馈BUG
￼修改玩友圈文字链接的样式
￼修改APP中图片样式失帧问题
￼修改网络加载失败、上传失败、加载异常、内容不存在的提示图
￼隐藏视频上传时的“推荐”选项",2018-08-27 21:40:22.652194
开发/前端开发,精诚立嘉,2018-03-23 13:02:03,已完成,"小程序前端开发，周期一周，包含评估在内，UI和设计看这个：
https://share.weiyun.com/50iaLot
一、必须在规定时间内完成，否则不予验收。
二、费用1.2万元，不能增加。
三、此任务为分包任务。",2018-08-27 21:40:22.657210
开发/其他开发,深圳微点信息科技有限公司,2018-04-11 09:35:18,已完成,"项目需求：

一、核心功能：
1.1 整个系统用户共有三种身份：普通用户、商家、代理商。
1.2 首页展示以入驻商户为最小单位，信息流展示，可筛选，可搜索。
1.3 商家填写信息，自动入驻。入驻方式分两种，一种缴纳一定金额入驻，金额可后台自定义；另一种推广一定人数入驻，推广人数可后台自定义。两种方式可后台选择开关。
1.4 代理功能。普通用户可申请代理，申请提交后由管理员后台审核。同时，管理员也可直接从后台将任意普通用户设置成代理商。每个代理商拥有唯一5位数随机编码。
1.5 后台可自定义开关入驻商户是否需要填写代理商编码，才能入驻。商户填写了代理商编码，成功入驻，后台可统计该代理商的推广业绩。
&nbsp;",2018-08-27 21:40:22.682239
设计/UI设计,图创时代公司,2018-03-27 18:26:42,已完成,"1、用途：用作“图创地图云平台产品”的logo。
2、产品定位：面向政府、面向企业的专业地图云服务平台，支持公有云、私有云、混合云部署；域名为：71ditu.com，其中“71”是“企业”的谐音；
      （1）有着很好的用户体验：地图流畅无卡顿，地图设计及配图更加简洁、灵活、高效，地图服务发布更快速，所见即所得；支持二三维一体化；支持行业应用；
      （2）具有行业数据及大数据的可视化、直观化应用的承载能力；
3、logo设计要求：简洁、大气、新颖、易识别，视觉冲击力强，符合政府及行业客户的审美。",2018-08-27 21:40:22.712395
设计/UI设计,杭州轻仓科技有限公司,2018-04-09 16:02:09,已完成,"公司网站设计：
1. 首页设计；
2. 5个功能介绍页面：库存管理、销售管理、采购管理、生产管理、记账管理；
3. 社区页面：首页、社区详情页面；
4. 价格与服务页面（用于展示产品线的功能及价格）。",2018-08-27 21:40:22.715879
开发/Web网站开发,宅聘人力资源服务有限公司,2018-04-11 14:54:31,已完成,"一：项目描述
主要为宅聘人力资源服务有限公司搭建一个功能性强的网站
二：主要功能点
智能型强；用户承载量大；企业和人才自动匹配度高；能放自己的考核题目；可在线语音/视频；能够实现数据沉淀等特点
三：参考网站
类似于招聘平台，有相同之处又存在很大区别
四：团队人员4——5人最佳",2018-08-27 21:40:22.726517
设计/插画设计,成都放盘科技,2018-03-28 09:51:52,已完成,需要猫咪插图20张，根据我们的脚本设定形象及各种表情,2018-08-27 21:40:22.731137
设计/平面设计,法仕国际文化传媒,2018-04-11 17:42:22,已完成,"一、企业简介
为政府和企业客户提供内容、公关、咨询、产品等国际文化传播，促进外信息和文化交流。

二、设计要求
1.风格简洁、美观
2.国际化
3.文化内涵深刻

企业有大量设计需求，本次设计效果优异，可洽谈长期合作。",2018-08-27 21:40:22.741359
设计/UI设计,深圳市小香蕉科技有限公司,2018-04-11 19:03:36,已完成,"APP 优化页面 8个页面
PC 优化页面 2个页面

承接人需提供完整多套方案供选择， 防止后续连续变更造成误期误工",2018-08-27 21:40:22.766671
开发/前端开发,好用科技,2018-04-11 17:58:13,已完成,"根据UI提供的详细页面要求来制作静态页面
1、会提供详细UI切图、尺寸和字体；
2、最后交付Html和Css 文件页面；
3、一共4个静态页面，用在微信服务号中，做到自适应；
4、南京地区的个人优先考虑。",2018-08-27 21:40:22.775506
设计/UI设计,洛琪文化创意有限公司,2018-04-12 13:07:33,已完成,"1个长页面，展示页为主，有大致想法，没有原型
风格主要偏北欧简约风，需要有设计感，不要传统电商风格。
需要有相关经验的设计师
请提供商业作品案例链接",2018-08-27 21:40:22.784702
设计/平面设计,北京子博创意设计有限公司,2018-04-13 10:59:08,已完成,"一、项目类型：包装设计
二、项目需求：精油包装设计，扁平化风格 
三、目标人群：中青年

四、设计需求：

     数量：1套（如合作愉快，后期还有2-3款同款包装设计需求）

     1.瓶身瓶贴设计*1  （以国外某地区的“地形图”为基础，艺术化处理，加文字排版工作）
     2.包装盒设计*1  （以“地形图”元素为基础做延展）
     3.购物纸袋设计*1 （以“地形图”元素为基础做延展）
     4.感谢卡设计*1 （以“地形图”元素为基础做延展）

五、说明：如你对本项目或我司有兴趣更深一层了解，请联系我，我会尽快回复你！谢谢！",2018-08-27 21:40:22.798992
开发/后端开发,北京厂多多科技有限公司,2018-04-13 15:52:08,已完成,B2B电商平台现运行版本中的新功能增加，以及老功能的优化。新加功能为用户发布需求、需求匹配、服务商针对需求报价回复等。,2018-08-27 21:40:22.812070
开发/前端开发,OOCLAB,2018-03-28 18:28:37,已完成,"基于 ReactJS + antd ，完成展会项目前端开发。

要求：
1. 1个月时间
2. 支持常用浏览器",2018-08-27 21:40:22.842017
开发/后端开发,北京诺信创联科技有限公司,2018-03-28 17:36:50,已完成,"1. 抓取百度贴吧某吧16年以来的帖子和回复
2  抓取天涯某个论坛16年以来的帖子内容和回复
3. 觅健某个圈子2016年以来的帖子和回复

使用python或NodeJS或Java代码抓取，要求代码质量高，结构清晰，抓取到的数据完整，准确",2018-08-27 21:40:22.850750
开发/Web网站开发,北京厂多多科技有限公司,2018-03-30 15:18:45,已完成,B2B电商平台现运行版本中的新功能增加，以及老功能的优化。后端技术的功能实现，包括搜索等功能的逻辑、产品排名逻辑。,2018-08-27 21:40:22.862223
设计/UI设计,无,2018-04-01 23:08:13,已完成,"三个页面
一个查询页带logo
一个详情页 一个跳转按钮两段话述
一个支付完成页
三个页面200元 不复杂 能接的来 熟手半小时完成",2018-08-27 21:40:22.867977
开发/Web网站开发,登登动媒科技（北京）有限公司,2018-04-04 15:27:33,已完成,"一、项目描述：
      完成图片类网站开发。注：已有UI，已有大部分后台所需数据
二、主要功能点
     浏览照片、短视频，个人页面，论坛等
三、可参考产品
       pinterest;  unsplash",2018-08-27 21:40:22.921943
设计/平面设计,深圳微点信息科技有限公司,2018-04-07 17:20:23,已完成,"1.logo设计
2.希望简洁上档次
3.希望设计周期短

1.logo设计
2.希望简洁上档次
3.希望设计周期短

1.logo设计
2.希望简洁上档次
3.希望设计周期短",2018-08-27 21:40:22.934313
设计/UI设计,北京卓然互联科技有限公司,2018-04-19 17:52:49,已完成,"1. 一款让学生复习、答题、参加竞赛的APP软件。
2. 二期项目主要涉及到：
软件启动页、引导页、登录、竞赛结果、分享、提现、购买等15个页面；
软件icon
3. 页面和icon需要支持安卓和iOS主流手机屏幕
Android：1280*720、1920*1080、1440x2560
iOS：640x1136、750x1334、1080x1920
4. 网站用的产品介绍图一张
5. 按产品需求对设计做出合理改进达到项目要求
6. 提交设计图、切图和源文件",2018-08-27 21:40:22.993589
开发/Web网站开发,个人,2018-04-19 14:49:30,已完成,"1.创建账单及管理账单模块。
2.接入银联支付接口。
3.按照需求文档完成页面跳转及各环节校验。
4.负责将网站部署至服务器，并且通过测试。
1000元 两天交活 除管理账单模块外其余页面已制作完成。
后台管理账单模块按工程师使用的后台前端框架按照原型搭建即可。
有制作过银联支付接口的优先。",2018-08-27 21:40:22.997404
设计/UI设计,上海赢赞数字科技有限公司,2018-04-20 23:21:20,已完成,"某年轻、潮酷品牌要做一场创意秀。其中有多处多媒体互动。
现需为多点触控的互动屏幕做UI设计。5个页面，不需要复杂设计。有reference、有明确需求。平面设计成手1天即可搞定的设计。要求提供源文件。",2018-08-27 21:40:23.009168
开发/小程序开发,小项目,2018-04-22 15:39:02,已完成,"小程序活动独立模块开发，3个页面，仅前端开发，后台接口都有。
会把微信小程序做漂亮，样式风格专业，有现成类似模板源码定制都可以。
要求：深圳或广东的个人或小团队，时间充裕，出活快，质量高，有实际小程序项目经验，能展示水平的案例。",2018-08-27 21:40:23.027178
